Company,Company Headcount,Industry
"CSS Industries, Inc.",201-500,Consumer: Greeting Cards
Zosano Pharma Corporation,201-500,Major Pharmaceuticals
Global Partners LP,501-1000,Oil Refining/Marketing
Sunrun Inc.,1001-5000,Industrial Specialties
The Goodyear Tire & Rubber Company,10000+,Automotive Aftermarket
Timken Company (The),201-500,Metal Fabrications
"Delta Air Lines, Inc.",201-500,Air Freight/Delivery Services
Cellect Biotechnology Ltd.,1001-5000,n/a
"Navigant Consulting, Inc.",10000+,Professional Services
Paylocity Holding Corporation,201-500,Computer Software: Prepackaged Software
Navios Maritime Holdings Inc.,501-1000,n/a
Liberty Interactive Corporation,10000+,Catalog/Specialty Distribution
"Appliance Recycling Centers of America, Inc.",201-500,Home Furnishings
"Morgan Stanley India Investment Fund, Inc.",501-1000,n/a
The Carlyle Group L.P.,10000+,Investment Managers
Danaher Corporation,1001-5000,Industrial Machinery/Components
First Trust High Income ETF,10000+,n/a
"Presidio, Inc.",201-500,Retail: Computer Software & Peripheral Equipment
"LEAP THERAPEUTICS, INC.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances)
"Patrick Industries, Inc.",10000+,Forest Products
Qiagen N.V.,1001-5000,Biotechnology: Biological Products (No Diagnostic Substances)
Genie Energy Ltd.,501-1000,Power Generation
Solar Capital Ltd.,1001-5000,n/a
GGP Inc.,501-1000,Real Estate Investment Trusts
"Advanced Emissions Solutions, Inc.",501-1000,Major Chemicals
"Coherus BioSciences, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances)
"Worthington Industries, Inc.",1001-5000,Steel/Iron Ore
"Sprouts Farmers Market, Inc.",10000+,Food Chains
First Trust TCW Opportunistic Fixed Income ETF,201-500,n/a
"Electro Scientific Industries, Inc.",10000+,Industrial Machinery/Components
"James River Group Holdings, Ltd.",201-500,Property-Casualty Insurers
NXT-ID Inc.,10000+,Diversified Commercial Services
Seadrill Limited,201-500,Oil & Gas Production
PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,201-500,n/a
SAP SE,501-1000,Computer Software: Prepackaged Software
Peoples Financial Corporation,1001-5000,Major Banks
K12 Inc,201-500,Other Consumer Services
"Neurocrine Biosciences, Inc.",1001-5000,Biotechnology: Biological Products (No Diagnostic Substances)
Alpine Global Dynamic Dividend Fund,201-500,n/a
"DineEquity, Inc",201-500,Restaurants
Foresight Autonomous Holdings Ltd.,1001-5000,n/a
Axis Capital Holdings Limited,1001-5000,n/a
"Tesla, Inc. ",501-1000,Auto Manufacturing
Fly Leasing Limited,501-1000,n/a
"Zogenix, Inc.",1001-5000,Major Pharmaceuticals
"Advaxis, Inc.",10000+,Major Pharmaceuticals
"Discovery Communications, Inc.",501-1000,Television Services
MGIC Investment Corporation,201-500,Property-Casualty Insurers
Nuveen AMT-Free Municipal Credit Income Fund,10000+,n/a
Ciner Resources LP,10000+,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
Eagle Point Credit Company Inc.,1001-5000,n/a
Arch Capital Group Ltd.,501-1000,n/a
MV Oil Trust,1001-5000,Oil & Gas Production
"Eleven Biotherapeutics, Inc.",501-1000,Major Pharmaceuticals
Cherry Hill Mortgage Investment Corporation,201-500,Real Estate Investment Trusts
"GlassBridge Enterprises, Inc.",1001-5000,Electronic Components
"FormFactor, Inc.",201-500,Semiconductors
"NewStar Financial, Inc.",10000+,Finance: Consumer Services
"Vail Resorts, Inc.",501-1000,Services-Misc. Amusement & Recreation
Royal Bank Scotland plc (The),1001-5000,Commercial Banks
Fifth Third Bancorp,201-500,Major Banks
"Hawkins, Inc.",201-500,Specialty Chemicals
INVESCO MORTGAGE CAPITAL INC,10000+,Real Estate Investment Trusts
GGP Inc.,10000+,Real Estate Investment Trusts
"Itron, Inc.",201-500,Electrical Products
"Vital Therapies, Inc.",201-500,Major Pharmaceuticals
"Amphastar Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals
"Avenue Therapeutics, Inc.",201-500,n/a
Ducommun Incorporated,1001-5000,Military/Government/Technical
Cerner Corporation,201-500,EDP Services
"Orexigen Therapeutics, Inc.",501-1000,Major Pharmaceuticals
"Aviragen Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances)
Ion Geophysical Corporation,1001-5000,Oil & Gas Production
"Jernigan Capital, Inc.",1001-5000,Real Estate Investment Trusts
"Xenia Hotels & Resorts, Inc.",501-1000,Hotels/Resorts
"Landauer, Inc.",501-1000,Industrial Machinery/Components
Opus Bank,10000+,n/a
"Sprott Focus Trust, Inc.",1001-5000,n/a
Public Storage,10000+,Real Estate Investment Trusts
KT Corporation,501-1000,Telecommunications Equipment
"New Germany Fund, Inc. (The)",201-500,n/a
"Blackrock MuniYield New Jersey Fund, Inc.",10000+,n/a
First Trust NASDAQ Global Auto Index Fund,1001-5000,n/a
iShares S&P India Nifty 50 Index Fund,10000+,n/a
Principal Healthcare Innovators Index ETF,1001-5000,n/a
PowerShares DWA SmallCap Momentum Portfolio,10000+,n/a
"Chimerix, Inc.",10000+,Major Pharmaceuticals
WAVE Life Sciences Ltd.,10000+,Major Pharmaceuticals
"MFA Financial, Inc.",501-1000,Real Estate Investment Trusts
NeoPhotonics Corporation,201-500,Semiconductors
CoreSite Realty Corporation,10000+,Real Estate Investment Trusts
Kilroy Realty Corporation,10000+,Real Estate Investment Trusts
Stewart Information Services Corporation,1001-5000,Specialty Insurers
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,10000+,n/a
Benitec Biopharma Limited,501-1000,Major Pharmaceuticals
Ternium S.A.,10000+,Steel/Iron Ore
"Melrose Bancorp, Inc.",501-1000,Major Banks
"RadNet, Inc.",1001-5000,Medical Specialities
First Trust Multi-Asset Diversified Income Index Fund,501-1000,n/a
"Willamette Valley Vineyards, Inc.",201-500,Beverages (Production/Distribution)
AGNC Investment Corp.,1001-5000,Real Estate Investment Trusts
Brink&#39;s Company (The),501-1000,Oil Refining/Marketing
"DHT Holdings, Inc.",201-500,Marine Transportation
Xcerra Corporation,10000+,Electrical Products
"Entergy Arkansas, Inc.",10000+,Electric Utilities: Central
"FireEye, Inc.",10000+,Computer peripheral equipment
"RLJ Entertainment, Inc.",501-1000,Movies/Entertainment
"National Health Investors, Inc.",501-1000,Real Estate Investment Trusts
"CryoPort, Inc.",10000+,Oil Refining/Marketing
Boulevard Acquisition Corp. II,1001-5000,Business Services
"Hasbro, Inc.",501-1000,Recreational Products/Toys
Apollo Commercial Real Estate Finance,501-1000,n/a
Kennedy-Wilson Holdings Inc.,1001-5000,Real Estate
Horizon Technology Finance Corporation,201-500,n/a
"MacroGenics, Inc.",501-1000,Major Pharmaceuticals
CF Corporation,10000+,Business Services
CYREN Ltd.,1001-5000,Computer Software: Prepackaged Software
ZIOPHARM Oncology Inc,1001-5000,Major Pharmaceuticals
"Quantenna Communications, Inc.",1001-5000,Semiconductors
Alphabet Inc.,501-1000,"Computer Software: Programming, Data Processing"
Brookfield Asset Management Inc,1001-5000,Building operators
"Kirkland&#39;s, Inc.",501-1000,Other Specialty Stores
"Pernix Therapeutics Holdings, Inc.",501-1000,Major Pharmaceuticals
"Echo Global Logistics, Inc.",501-1000,Oil Refining/Marketing
"Lands&#39; End, Inc.",201-500,Clothing/Shoe/Accessory Stores
"Eleven Biotherapeutics, Inc.",10000+,Major Pharmaceuticals
PowerShares Golden Dragon China Portfolio,1001-5000,n/a
First Trust Multi Cap Growth AlphaDEX Fund,1001-5000,n/a
"Walgreens Boots Alliance, Inc.",1001-5000,Medical/Nursing Services
"Allegiance Bancshares, Inc.",201-500,Major Banks
MTS Systems Corporation,1001-5000,Industrial Machinery/Components
"China Natural Resources, Inc.",1001-5000,Precious Metals
Celsion Corporation,501-1000,Major Pharmaceuticals
Liberty Media Corporation,201-500,Broadcasting
180 Degree Capital Corp.,10000+,Finance/Investors Services
Devon Energy Corporation,501-1000,Oil & Gas Production
Houghton Mifflin Harcourt Company,10000+,Books
Ball Corporation,201-500,Containers/Packaging
"Tallgrass Energy Partners, LP",201-500,Natural Gas Distribution
"REV Group, Inc.",501-1000,Auto Manufacturing
American Homes 4 Rent,201-500,Real Estate Investment Trusts
"NCS Multistage Holdings, Inc.",201-500,n/a
Gabelli Global Small and Mid Cap Value Trust (The),10000+,n/a
"Urban One, Inc. ",1001-5000,Broadcasting
"AmTrust Financial Services, Inc.",501-1000,Property-Casualty Insurers
"KBR, Inc.",201-500,Military/Government/Technical
Drive Shack Inc.,10000+,n/a
"Value Line, Inc.",201-500,Investment Managers
"Zoe&#39;s Kitchen, Inc.",501-1000,Restaurants
XBiotech Inc.,10000+,Major Pharmaceuticals
"Ulta Beauty, Inc.",201-500,Other Specialty Stores
RH,501-1000,Other Specialty Stores
"Mid-America Apartment Communities, Inc.",201-500,n/a
"Nova Lifestyle, Inc",201-500,Home Furnishings
Good Times Restaurants Inc.,1001-5000,Restaurants
"New Germany Fund, Inc. (The)",10000+,n/a
"TripAdvisor, Inc.",1001-5000,"Computer Software: Programming, Data Processing"
"Waste Management, Inc.",10000+,Environmental Services
"Pinnacle Financial Partners, Inc.",201-500,Major Banks
Flex Ltd.,501-1000,Electrical Products
"Sound Financial Bancorp, Inc.",501-1000,Savings Institutions
Hewlett Packard Enterprise Company,201-500,Computer Manufacturing
"CenturyLink, Inc.",501-1000,Telecommunications Equipment
Pacific Special Acquisition Corp.,10000+,Business Services
"Nuveen California Municipal Value Fund, Inc.",201-500,n/a
"Dr Pepper Snapple Group, Inc",501-1000,Beverages (Production/Distribution)
Ultra Petroleum Corp.,10000+,Oil & Gas Production
"Avis Budget Group, Inc.",501-1000,Rental/Leasing Companies
Bank of Commerce Holdings (CA),10000+,Major Banks
Federal Agricultural Mortgage Corporation,501-1000,n/a
"United Bankshares, Inc.",201-500,Major Banks
Cincinnati Bell Inc,201-500,n/a
"General American Investors, Inc.",1001-5000,n/a
"The Michaels Companies, Inc.",501-1000,Recreational Products/Toys
"Standard Motor Products, Inc.",501-1000,Auto Parts:O.E.M.
CNH Industrial N.V.,1001-5000,Construction/Ag Equipment/Trucks
"Berkshire Hills Bancorp, Inc.",501-1000,Banks
Global Partner Acquisition Corp.,1001-5000,Hospital/Nursing Management
"Illumina, Inc.",1001-5000,Biotechnology: Laboratory Analytical Instruments
Vident International Equity Fund,501-1000,n/a
Accuray Incorporated,201-500,Medical/Dental Instruments
Cerus Corporation,201-500,Medical/Dental Instruments
Scorpio Tankers Inc.,201-500,Marine Transportation
Lehman ABS Corporation,501-1000,Finance: Consumer Services
"Southern National Bancorp of Virginia, Inc.",201-500,Major Banks
Suncor Energy  Inc.,201-500,Integrated oil Companies
Yandex N.V.,501-1000,"Computer Software: Programming, Data Processing"
Entercom Communications Corporation,201-500,Broadcasting
CBS Corporation,1001-5000,Broadcasting
Sears Holdings Corporation,10000+,Department/Specialty Retail Stores
"Unifi, Inc.",501-1000,Textiles
CBS Corporation,10000+,n/a
"Northwest Bancshares, Inc.",501-1000,Major Banks
Logitech International S.A.,501-1000,Computer peripheral equipment
"Avangrid, Inc.",501-1000,Electric Utilities: Central
Centene Corporation,10000+,Medical Specialities
Merus N.V.,1001-5000,Major Pharmaceuticals
"CryoPort, Inc.",201-500,Oil Refining/Marketing
"Mirna Therapeutics, Inc.",1001-5000,Major Pharmaceuticals
MainStay DefinedTerm Municipal Opportunities Fund,501-1000,n/a
Taro Pharmaceutical Industries Ltd.,501-1000,Major Pharmaceuticals
Dynegy Inc.,201-500,n/a
Bel Fuse Inc.,10000+,Electrical Products
"MKS Instruments, Inc.",501-1000,Industrial Machinery/Components
CarMax Inc,10000+,Automotive Aftermarket
Mobileye N.V.,1001-5000,Computer Software: Prepackaged Software
Western Asset Mortgage Capital Corporation,10000+,Real Estate Investment Trusts
Brasilagro Cia Brasileira De Propriedades Agricolas,1001-5000,n/a
Albemarle Corporation,1001-5000,Major Chemicals
CONSOL Energy Inc.,201-500,Coal Mining
C,1001-5000,Oilfield Services/Equipment
"Flexsteel Industries, Inc.",1001-5000,Home Furnishings
"Core-Mark Holding Company, Inc.",1001-5000,Food Distributors
Kennametal Inc.,1001-5000,Industrial Machinery/Components
Rosehill Resources Inc.,1001-5000,Oil & Gas Production
"First Capital, Inc.",501-1000,Savings Institutions
Royal Bank Scotland plc (The),501-1000,Commercial Banks
"Blackhawk Network Holdings, Inc.",10000+,Finance: Consumer Services
Nuveen Quality Preferred Income Fund 2,201-500,n/a
Nuveen North Carolina Quality Municipal Income Fd,201-500,n/a
"PDC Energy, Inc.",201-500,Oil & Gas Production
R.R. Donnelley & Sons Company,10000+,Publishing
Biglari Holdings Inc.,201-500,Restaurants
Statoil ASA,501-1000,Integrated oil Companies
Lehman ABS Corporation,501-1000,Finance: Consumer Services
Till Capital Ltd.,201-500,Property-Casualty Insurers
Pioneer Natural Resources Company,201-500,Oil & Gas Production
Zhaopin Limited,10000+,Professional Services
"Senomyx, Inc.",1001-5000,Biotechnology: Commercial Physical & Biological Resarch
"NetApp, Inc.",201-500,Electronic Components
"Liberty Expedia Holdings, Inc.",201-500,Other Consumer Services
Time Inc.,10000+,Newspapers/Magazines
"Commerce Bancshares, Inc.",10000+,Major Banks
SEACOR Marine Holdings Inc.,501-1000,Marine Transportation
Peoples Financial Services Corp. ,1001-5000,Major Banks
"China Green Agriculture, Inc.",201-500,Agricultural Chemicals
"Legg Mason, Inc.",501-1000,Investment Managers
"Fidelity National Financial, Inc.",10000+,Specialty Insurers
"Silicon Laboratories, Inc.",501-1000,Semiconductors
"Cara Therapeutics, Inc.",201-500,Major Pharmaceuticals
Dreyfus High Yield Strategies Fund,201-500,n/a
Scorpio Tankers Inc.,501-1000,Marine Transportation
"Aerohive Networks, Inc.",501-1000,EDP Services
Navios Maritime Acquisition Corporation,501-1000,Marine Transportation
"Glacier Bancorp, Inc.",1001-5000,Major Banks
First Trust Hong Kong AlphaDEX Fund,10000+,n/a
National General Holdings Corp,1001-5000,Property-Casualty Insurers
Baker Hughes Incorporated,201-500,Metal Fabrications
Invitae Corporation,501-1000,Medical Specialities
Ashford Hospitality Trust Inc,201-500,n/a
ClearBridge Large Cap Growth ESG ETF,501-1000,n/a
W.R. Berkley Corporation,10000+,n/a
Highway Holdings Limited,10000+,Metal Fabrications
Black Box Corporation,1001-5000,Computer Communications Equipment
TELUS Corporation,201-500,Telecommunications Equipment
KB Financial Group Inc,201-500,Commercial Banks
"Alliance HealthCare Services, Inc.",10000+,Medical Specialities
iShares MSCI Emerging Markets Asia Index Fund,1001-5000,n/a
"AmTrust Financial Services, Inc.",1001-5000,Property-Casualty Insurers
"Stanley Black & Decker, Inc.",201-500,Industrial Machinery/Components
"Match Group, Inc.",1001-5000,"Computer Software: Programming, Data Processing"
"AMAG Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals
"Summit Financial Group, Inc.",501-1000,Major Banks
Fifth Street Finance Corp.,1001-5000,n/a
"Iconix Brand Group, Inc.",201-500,Shoe Manufacturing
Genie Energy Ltd.,501-1000,n/a
Enbridge Energy Management LLC,10000+,Oil & Gas Production
"Dril-Quip, Inc.",1001-5000,Metal Fabrications
MiX Telematics Limited,501-1000,Computer Software: Prepackaged Software
Scorpio Tankers Inc.,501-1000,Marine Transportation
BlackRock Science and Technology Trust,1001-5000,n/a
"American International Group, Inc.",201-500,n/a
"HC2 Holdings, Inc.",10000+,Metal Fabrications
Amec Plc Ord,201-500,Military/Government/Technical
"Safe Bulkers, Inc",501-1000,n/a
Cognex Corporation,201-500,Industrial Machinery/Components
RADA Electronic Industries Ltd.,501-1000,Electronic Components
"American National Bankshares, Inc.",10000+,Major Banks
Allstate Corporation (The),10000+,n/a
Everi Holdings Inc.,1001-5000,Finance: Consumer Services
"PGT Innovations, Inc.",1001-5000,Building Products
Rosehill Resources Inc.,10000+,Oil & Gas Production
China XD Plastics Company Limited,1001-5000,Containers/Packaging
Bank of South Carolina Corp.,1001-5000,Major Banks
Student Transportation Inc,501-1000,Other Transportation
"Texas Capital Bancshares, Inc.",201-500,Major Banks
"Greenbrier Companies, Inc. (The)",501-1000,Railroads
Cesca Therapeutics Inc.,1001-5000,Medical Specialities
iStar Financial Inc.,201-500,n/a
"Angie&#39;s List, Inc.",501-1000,Advertising
"Integrated Device Technology, Inc.",501-1000,Semiconductors
Blackrock Capital and Income Strategies Fund Inc,10000+,n/a
"Omnicell, Inc.",201-500,Computer Manufacturing
MGC Diagnostics Corporation,201-500,Medical/Dental Instruments
Astrotech Corporation,201-500,Military/Government/Technical
"Heron Therapeutics, Inc.  ",10000+,Major Pharmaceuticals
Ultragenyx Pharmaceutical Inc.,201-500,Major Pharmaceuticals
"Just Energy Group, Inc.",201-500,Oil/Gas Transmission
"First Business Financial Services, Inc.",10000+,Major Banks
Forum Merger Corporation,501-1000,Business Services
Chatham Lodging Trust (REIT),201-500,Real Estate Investment Trusts
Arch Capital Group Ltd.,1001-5000,n/a
Aegon NV,201-500,Life Insurance
NetSol Technologies Inc.,501-1000,Computer Software: Prepackaged Software
"Rollins, Inc.",501-1000,Diversified Commercial Services
"Tyler Technologies, Inc.",10000+,Computer Software: Prepackaged Software
Valvoline Inc.,10000+,Major Chemicals
Five Star Senior Living Inc.,1001-5000,Hospital/Nursing Management
"Cidara Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances)
"Olympic Steel, Inc.",501-1000,Metal Fabrications
"Meridian Waste Solutions, Inc",1001-5000,Miscellaneous
"P & F Industries, Inc.",1001-5000,Industrial Machinery/Components
"Star Gas Partners, L.P.",1001-5000,Other Specialty Stores
"Spirit Aerosystems Holdings, Inc.",201-500,Military/Government/Technical
RLI Corp.,501-1000,Property-Casualty Insurers
"Southwest Gas Holdings, Inc.",10000+,Oil & Gas Production
ProAssurance Corporation,10000+,Property-Casualty Insurers
"Acorda Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances)
"MoSys, Inc.",1001-5000,Semiconductors
"Validus Holdings, Ltd.",501-1000,Property-Casualty Insurers
HSBC Holdings plc,201-500,Savings Institutions
"Banc of California, Inc.",10000+,n/a
Deluxe Corporation,1001-5000,Publishing
Royal Bank Scotland plc (The),201-500,Commercial Banks
Tocagen Inc.,1001-5000,Major Pharmaceuticals
Deutsche Bank AG,1001-5000,Major Banks
Performance Food Group Company,201-500,Food Distributors
Barings Corporate Investors,501-1000,n/a
Bright Scholar Education Holdings Limited,10000+,Other Consumer Services
Marine Petroleum Trust,10000+,Oil & Gas Production
Superconductor Technologies Inc.,201-500,Radio And Television Broadcasting And Communications Equipment
Hutchison China MediTech Limited,10000+,Major Pharmaceuticals
Lianluo Smart Limited,501-1000,Medical/Dental Instruments
"Republic Services, Inc.",10000+,Environmental Services
MSG Networks Inc.,501-1000,Services-Misc. Amusement & Recreation
"LightInTheBox Holding Co., Ltd.",201-500,Catalog/Specialty Distribution
QAD Inc.,10000+,Computer Software: Prepackaged Software
"NiSource, Inc",1001-5000,Power Generation
FIRST REPUBLIC BANK,201-500,n/a
PowerShares S&P SmallCap Consumer Discretionary Portfolio,201-500,n/a
Azul S.A.,501-1000,Air Freight/Delivery Services
Genie Energy Ltd.,501-1000,n/a
Associated Banc-Corp,501-1000,Major Banks
Campbell Soup Company,10000+,Packaged Foods
"Xenia Hotels & Resorts, Inc.",501-1000,Hotels/Resorts
Chemical Financial Corporation,1001-5000,Major Banks
iShares MSCI New Zealand Capped ETF,201-500,n/a
First Trust Managed Municipal ETF,201-500,n/a
"Ionis Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals
Emmis Communications Corporation,501-1000,Broadcasting
TIM Participacoes S.A.,1001-5000,Telecommunications Equipment
Cincinnati Financial Corporation,201-500,Property-Casualty Insurers
SecureWorks Corp.,501-1000,Computer Software: Prepackaged Software
SeaSpine Holdings Corporation,501-1000,Medical/Dental Instruments
CHS Inc,201-500,Farming/Seeds/Milling
Sherwin-Williams Company (The),10000+,RETAIL: Building Materials
"Alon USA Energy, Inc.",1001-5000,Integrated oil Companies
Morgan Stanley,10000+,n/a
Saban Capital Acquisition Corp.,201-500,Business Services
Vince Holding Corp.,10000+,Clothing/Shoe/Accessory Stores
Summit Therapeutics plc,501-1000,Major Pharmaceuticals
"German American Bancorp, Inc.",201-500,Major Banks
Banco Bradesco Sa,1001-5000,Major Banks
"Marcus & Millichap, Inc.",501-1000,Real Estate
"Global Ship Lease, Inc.",201-500,n/a
Arlington Asset Investment Corp,201-500,Finance/Investors Services
Blackrock Global,1001-5000,n/a
Bank of Commerce Holdings (CA),501-1000,Major Banks
Trimble Inc.,201-500,Industrial Machinery/Components
"Energy Transfer Partners, L.P.",1001-5000,Natural Gas Distribution
First Trust Strategic High Income Fund II,1001-5000,n/a
"Merrill Lynch & Co., Inc.",1001-5000,n/a
Synaptics Incorporated,10000+,EDP Services
Harsco Corporation,10000+,Metal Fabrications
VelocityShares VIX Medium-Term ETN,1001-5000,Investment Bankers/Brokers/Service
Cumulus Media Inc.,501-1000,Broadcasting
Fastenal Company,10000+,RETAIL: Building Materials
StoneMor Partners L.P.,201-500,Other Consumer Services
"Expeditors International of Washington, Inc.",501-1000,Oil Refining/Marketing
WisdomTree U.S. Quality Dividend Growth Fund,1001-5000,n/a
Energen Corporation,1001-5000,Oil & Gas Production
"First Financial Northwest, Inc.",10000+,Major Banks
Deere & Company,201-500,Industrial Machinery/Components
Pacific Coast Oil Trust,1001-5000,Oil & Gas Production
"New Relic, Inc.",1001-5000,Computer Software: Prepackaged Software
"Rollins, Inc.",10000+,Diversified Commercial Services
"OSI Systems, Inc.",10000+,Semiconductors
Cushing Renaissance Fund (The),201-500,n/a
CHS Inc,501-1000,Farming/Seeds/Milling
Crestwood Equity Partners LP,10000+,Other Consumer Services
OFG Bancorp,201-500,n/a
Infosys Limited,1001-5000,EDP Services
BlackRock California Municipal Income Trust,201-500,n/a
"Advanced Drainage Systems, Inc.",1001-5000,Containers/Packaging
Cerecor Inc.,1001-5000,Major Pharmaceuticals
"Blackrock MuniYield New York Quality Fund, Inc.",501-1000,n/a
"Imprimis Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals
Citigroup Inc.,201-500,Major Banks
Dynegy Inc.,201-500,n/a
Humana Inc.,501-1000,Medical Specialities
Statoil ASA,10000+,Integrated oil Companies
Kohl&#39;s Corporation,1001-5000,Department/Specialty Retail Stores
McKesson Corporation,1001-5000,Other Pharmaceuticals
"Royce Global Value Trust, Inc.",1001-5000,n/a
"Hawthorn Bancshares, Inc.",1001-5000,Major Banks
Boyd Gaming Corporation,501-1000,Hotels/Resorts
Mackinac Financial Corporation,201-500,Major Banks
"Delek Logistics Partners, L.P.",1001-5000,Natural Gas Distribution
GGP Inc.,10000+,Real Estate Investment Trusts
Aflac Incorporated,201-500,Accident &Health Insurance
Penn West Petroleum Ltd,1001-5000,Oil & Gas Production
Vulcan Materials Company,501-1000,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
"Guidance Software, Inc.",1001-5000,Computer Software: Prepackaged Software
"Senomyx, Inc.",501-1000,Biotechnology: Commercial Physical & Biological Resarch
Nuveen Municipal 2021 Target Term Fund,501-1000,n/a
Tuttle Tactical Management Multi-Strategy Income ETF,201-500,n/a
State Street Corporation,201-500,n/a
"OncoMed Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals
Atlassian Corporation Plc,501-1000,Computer Software: Prepackaged Software
"Bridge Bancorp, Inc.",10000+,Major Banks
"Allete, Inc.",1001-5000,Power Generation
Carlisle Companies Incorporated,10000+,Specialty Chemicals
Accuray Incorporated,10000+,Medical/Dental Instruments
Cemtrex Inc.,201-500,Industrial Machinery/Components
Marathon Petroleum Corporation,501-1000,Integrated oil Companies
"Sykes Enterprises, Incorporated",501-1000,EDP Services
Harmony Merger Corp.,201-500,Oil & Gas Production
JMU Limited,201-500,EDP Services
Unilever PLC,1001-5000,Package Goods/Cosmetics
"National Western Life Group, Inc.",10000+,Life Insurance
"Bemis Company, Inc.",10000+,Containers/Packaging
"US Ecology, Inc.",501-1000,Environmental Services
Mobile TeleSystems OJSC,1001-5000,Telecommunications Equipment
"Cypress Energy Partners, L.P.",10000+,Oilfield Services/Equipment
"Speedway Motorsports, Inc.",10000+,Services-Misc. Amusement & Recreation
"New York Community Bancorp, Inc.",10000+,Banks
Telecom Italia S.P.A.,201-500,Telecommunications Equipment
PowerShares DWA SmallCap Momentum Portfolio,201-500,n/a
RenaissanceRe Holdings Ltd.,501-1000,n/a
Siebert Financial Corp.,201-500,Investment Bankers/Brokers/Service
"Aberdeen Singapore Fund, Inc.",201-500,n/a
Vector Group Ltd.,1001-5000,Farming/Seeds/Milling
Citizens Holding Company,1001-5000,Major Banks
Global X SuperDividend REIT ETF,1001-5000,n/a
"Zendesk, Inc.",1001-5000,EDP Services
Methanex Corporation,201-500,Major Chemicals
Newmont Mining Corporation,501-1000,Precious Metals
Partner Communications Company Ltd.,10000+,Telecommunications Equipment
Voya Prime Rate Trust,1001-5000,n/a
"Red Robin Gourmet Burgers, Inc.",501-1000,Restaurants
Loews Corporation,501-1000,Property-Casualty Insurers
Zions Bancorporation,201-500,n/a
Drive Shack Inc.,201-500,Real Estate Investment Trusts
CalAmp Corp.,1001-5000,Radio And Television Broadcasting And Communications Equipment
180 Degree Capital Corp.,1001-5000,Finance/Investors Services
"GTY Technology Holdings, Inc.",501-1000,Business Services
Greif Bros. Corporation,1001-5000,n/a
"Consumer Portfolio Services, Inc.",201-500,Finance: Consumer Services
VictoryShares Dividend Accelerator ETF,1001-5000,n/a
Infinera Corporation,201-500,Telecommunications Equipment
First Trust Low Duration Opportunities ETF,1001-5000,n/a
"Bloomin&#39; Brands, Inc.",201-500,Restaurants
Dun & Bradstreet Corporation (The),201-500,Finance: Consumer Services
Great Elm Capital Corp.,1001-5000,n/a
Nuveen AMT-Free Municipal Value Fund,10000+,n/a
"G. Willi-Food International,  Ltd.",1001-5000,Food Distributors
Taitron Components Incorporated,10000+,Electronic Components
Pacific Special Acquisition Corp.,1001-5000,Business Services
"Trex Company, Inc.",201-500,Forest Products
"Community First Bancshares, Inc.",201-500,n/a
Conyers Park Acquisition Corp.,201-500,Business Services
eBay Inc.,1001-5000,Business Services
"Cass Information Systems, Inc",201-500,Business Services
"Neenah Paper, Inc.",1001-5000,Paper
Vedanta  Limited,201-500,Metal Fabrications
Nuveen Municipal Credit Income Fund,10000+,n/a
Fifth Third Bancorp,1001-5000,Major Banks
"Latin American Discovery Fund, Inc. (The)",10000+,n/a
Service Corporation International,501-1000,Other Consumer Services
Bank of America Corporation,201-500,n/a
"Real Goods Solar, Inc.",501-1000,Engineering & Construction
"Kandi Technologies Group, Inc.",10000+,Auto Manufacturing
Eagle Point Credit Company Inc.,10000+,n/a
Gabelli Dividend,10000+,n/a
Sutherland Asset Management Corporation,201-500,Real Estate Investment Trusts
Aspen Insurance Holdings Limited,201-500,n/a
Grupo Aval Acciones y Valores S.A.,201-500,Commercial Banks
LiNiu Technology Group,10000+,Services-Misc. Amusement & Recreation
"NextEra Energy Partners, LP",10000+,Electric Utilities: Central
LATAM Airlines Group S.A.,1001-5000,Air Freight/Delivery Services
Bank of Nova Scotia (The),501-1000,Major Banks
"GenVec, Inc.",501-1000,Major Pharmaceuticals
Teekay Offshore Partners L.P.,201-500,Marine Transportation
Coca Cola Femsa S.A.B. de C.V.,501-1000,Beverages (Production/Distribution)
"Pathfinder Bancorp, Inc.",201-500,Major Banks
JM Global Holding Company,10000+,Business Services
Intellipharmaceutics International Inc.,10000+,Major Pharmaceuticals
"Catabasis Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals
"Kingstone Companies, Inc",501-1000,Property-Casualty Insurers
"Templeton Global Income Fund, Inc.",201-500,n/a
Advance Auto Parts Inc,10000+,Other Specialty Stores
